ZONE A											
-20.330690380	14.941373830	-35.999164580	14.904060360								
-20.322765350	14.882782940	-35.996654510	14.808150290								
-20.309556960	14.824265480	-35.992469790	14.712298390								
-20.291069030	14.765857700	-35.986614230	14.616533280								
-20.267303470	14.707594870	-35.979091640	14.520885470								
-20.238269810	14.649513240	-35.969902040	14.425383570								
-20.203968050	14.591650010	-35.959045410	14.330057140								
-20.164409640	14.534040450	-35.946529390	14.234933850								
-20.119600300	14.476718900	-35.932353970	14.140043260								
-20.069551470	14.419723510	-35.916526790	14.045413970								
-20.014268880	14.363087650	-35.899051670	13.951075550								
-19.953767780	14.306846620	-35.879932400	13.857056620								
-19.888059620	14.251035690	-35.859176640	13.763385770								
-19.817155840	14.195690160	-35.836791990	13.670090680								
-19.741073610	14.140841480	-35.812782290	13.577199940								
-19.659826280	14.086526870	-35.787155150	13.484743120								
-19.573431020	14.032776830	-35.759918210	13.392746930								
-19.481904980	13.979625700	-35.731082920	13.301239970								
-19.385267260	13.927106860	-35.700653080	13.210248950								
-19.283538820	13.875250820	-35.668640140	13.119803430								
-19.176738740	13.824090000	-35.635059360	13.029930110								
-19.064888000	13.773656850	-35.599910740	12.940656660								
-18.948013310	13.723979950	-35.563213350	12.852008820								
-18.826133730	13.675090790	-35.524974820	12.764015200								
-18.699277880	13.627018930	-35.485206600	12.676702500								
-18.567470550	13.579792980	-35.443920140	12.590095520								
-18.430738450	13.533441540	-35.401130680	12.504222870								
-18.289110180	13.487993240	-35.356849670	12.419109340								
-18.142616270	13.443474770	-35.311092380	12.334781650								
-17.991283420	13.399910930	-35.263870240	12.251264570								
-17.835147860	13.357329370	-35.215198520	12.168583870								
-17.674238200	13.315755840	-35.165088650	12.086765290								
-17.508588790	13.275213240	-35.113563540	12.005832670								
-17.338233950	13.235725400	-35.060630800	11.925810810								
-17.163211820	13.197316170	-35.006313320	11.846724510								
-16.983556750	13.160006520	-34.950622560	11.768598560								
-16.799304960	13.123818400	-34.893577580	11.691455840								
-16.610498430	13.088771820	-34.835197450	11.615319250								
-16.417175290	13.054886820	-34.775497440	11.540212630								
-16.219375610	13.022182460	-34.714496610	11.466159820								
-16.017141340	12.990674970	-34.652210240	11.393180850								
-15.810518260	12.960382460	-34.588665010	11.321300510								
-15.599546430	12.931322100	-34.523872380	11.250539780								
-15.384273530	12.903508190	-34.457855220	11.180919650								
-15.164746280	12.876953130	-34.390636440	11.112461090								
-14.941008570	12.851673130	-34.322231290	11.045187000								
-14.713112830	12.827678680	-34.252662660	10.979114530								
-14.481102940	12.804981230	-34.181953430	10.914266590								
-14.245032310	12.783591270	-34.110122680	10.850662230								
-14.004954340	12.763519290	-34.037193300	10.788320540								
-13.760919570	12.744771000	-33.963191990	10.727259640								
-13.512978550	12.727355000	-33.888130190	10.667499540								
-13.261191370	12.711278920	-33.812042240	10.609057430								
-13.005608560	12.696545600	-33.734943390	10.551951410								
-12.746291160	12.683160780	-33.656864170	10.496199610								
-12.483293530	12.671125410	-33.577819820	10.441818240								
-12.216674800	12.660443310	-33.497840880	10.388822560								
-11.946496960	12.651114460	-33.416950230	10.337231640								
-11.672819140	12.643140790	-33.335170750	10.287059780								
-11.395703320	12.636517520	-33.252529140	10.238321300								
-11.115215300	12.631243710	-33.169048310	10.191031460								
-10.831415180	12.627316470	-33.084758760	10.145205500								
-10.544370650	12.624730110	-32.999679570	10.100856780								
-10.254146580	12.623478890	-32.913841250	10.057998660								
-9.960810660	12.623557090	-32.827266690	10.016644480								
-9.664433480	12.624957080	-32.739986420	9.976806640								
-9.365081790	12.627667430	-32.652023320	9.938497540								
-9.062826160	12.631679530	-32.563404080	9.901729580								
-8.757741930	12.636981960	-32.474159240	9.866512300								
-8.449897770	12.643563270	-32.384311680	9.832857130								
-8.139369960	12.651407240	-32.293891910	9.800773620								
-7.826231000	12.660501480	-32.202926640	9.770273210								
-7.510558610	12.670831680	-32.111442570	9.741363530								
-7.192431930	12.682377820	-32.019466400	9.714054110								
-6.871924400	12.695122720	-31.927028660	9.688353540								
-6.549120430	12.709050180	-31.834157940	9.664269450								
-6.224096300	12.724139210	-31.740880970	9.641809460								
-5.896934030	12.740365030	-31.647226330	9.620978360								
